[epoch 0 iteration 0284]loss 1.506 | overlap 0.197
[epoch 0 iteration 0285]loss 1.484 | overlap 0.169
[epoch 0 iteration 0286]loss 1.529 | overlap 0.147
[epoch 0 iteration 0287]loss 1.505 | overlap 0.178
[epoch 0 iteration 0288]loss 1.512 | overlap 0.159
[epoch 0 iteration 0289]loss 1.567 | overlap 0.112
[epoch 0 iteration 0290]loss 1.512 | overlap 0.166
[epoch 0 iteration 0291]loss 1.488 | overlap 0.237
[epoch 0 iteration 0292]loss 1.472 | overlap 0.216
[epoch 0 iteration 0293]loss 1.459 | overlap 0.206
[epoch 0 iteration 0294]loss 1.550 | overlap 0.153
[epoch 0 iteration 0295]loss 1.527 | overlap 0.128
[epoch 0 iteration 0296]loss 1.543 | overlap 0.150
[epoch 0 iteration 0297]loss 1.605 | overlap 0.075
[epoch 0 iteration 0298]loss 1.571 | overlap 0.103
[epoch 0 iteration 0299]loss 1.499 | overlap 0.147
[epoch 0 iteration 0300]loss 1.516 | overlap 0.150
[epoch 0 iteration 0301]loss 1.523 | overlap 0.119
[epoch 0 iteration 0302]loss 1.497 | overlap 0.206
[epoch 0 iteration 0303]loss 1.435 | overlap 0.172
[epoch 0 iteration 0304]loss 1.545 | overlap 0.144
[epoch 0 iteration 0305]loss 1.524 | overlap 0.147
[epoch 0 iteration 0306]loss 1.462 | overlap 0.178
[epoch 0 iteration 0307]loss 1.576 | overlap 0.125
[epoch 0 iteration 0308]loss 1.535 | overlap 0.150
[epoch 0 iteration 0309]loss 1.490 | overlap 0.172
[epoch 0 iteration 0310]loss 1.475 | overlap 0.187
[epoch 0 iteration 0311]loss 1.545 | overlap 0.119
[epoch 0 iteration 0312]loss 1.511 | overlap 0.178
[epoch 0 iteration 0313]loss 1.546 | overlap 0.131
[epoch 0 iteration 0314]loss 1.507 | overlap 0.150
[epoch 0 iteration 0315]loss 1.464 | overlap 0.169
[epoch 0 iteration 0316]loss 1.499 | overlap 0.125
[epoch 0 iteration 0317]loss 1.544 | overlap 0.119
[epoch 0 iteration 0318]loss 1.498 | overlap 0.150
[epoch 0 iteration 0319]loss 1.512 | overlap 0.131
[epoch 0 iteration 0320]loss 1.536 | overlap 0.141
[epoch 0 iteration 0321]loss 1.481 | overlap 0.184
[epoch 0 iteration 0322]loss 1.518 | overlap 0.150
[epoch 0 iteration 0323]loss 1.431 | overlap 0.250
[epoch 0 iteration 0324]loss 1.455 | overlap 0.225
[epoch 0 iteration 0325]loss 1.582 | overlap 0.131
[epoch 0 iteration 0326]loss 1.476 | overlap 0.184
[epoch 0 iteration 0327]loss 1.523 | overlap 0.128
[epoch 0 iteration 0328]loss 1.528 | overlap 0.134
[epoch 0 iteration 0329]loss 1.477 | overlap 0.181
[epoch 0 iteration 0330]loss 1.491 | overlap 0.166
[epoch 0 iteration 0331]loss 1.469 | overlap 0.163
[epoch 0 iteration 0332]loss 1.529 | overlap 0.166
[epoch 0 iteration 0333]loss 1.566 | overlap 0.144
[epoch 0 iteration 0334]loss 1.493 | overlap 0.125
[epoch 0 iteration 0335]loss 1.527 | overlap 0.119
[epoch 0 iteration 0336]loss 1.495 | overlap 0.166
[epoch 0 iteration 0337]loss 1.491 | overlap 0.191
[epoch 0 iteration 0338]loss 1.484 | overlap 0.172
[epoch 0 iteration 0339]loss 1.495 | overlap 0.163
[epoch 0 iteration 0340]loss 1.508 | overlap 0.147
[epoch 0 iteration 0341]loss 1.484 | overlap 0.181
[epoch 0 iteration 0342]loss 1.448 | overlap 0.212
[epoch 0 iteration 0343]loss 1.479 | overlap 0.172
[epoch 0 iteration 0344]loss 1.541 | overlap 0.128
[epoch 0 iteration 0345]loss 1.569 | overlap 0.112
[epoch 0 iteration 0346]loss 1.451 | overlap 0.187
[epoch 0 iteration 0347]loss 1.457 | overlap 0.212
[epoch 0 iteration 0348]loss 1.522 | overlap 0.153
[epoch 0 iteration 0349]loss 1.464 | overlap 0.163
[epoch 0 iteration 0350]loss 1.550 | overlap 0.125
[epoch 0 iteration 0351]loss 1.434 | overlap 0.200
[epoch 0 iteration 0352]loss 1.479 | overlap 0.156
[epoch 0 iteration 0353]loss 1.499 | overlap 0.181
[epoch 0 iteration 0354]loss 1.451 | overlap 0.206
[epoch 0 iteration 0355]loss 1.489 | overlap 0.156
[epoch 0 iteration 0356]loss 1.538 | overlap 0.112
[epoch 0 iteration 0357]loss 1.576 | overlap 0.081
[epoch 0 iteration 0358]loss 1.507 | overlap 0.153
[epoch 0 iteration 0359]loss 1.474 | overlap 0.172
[epoch 0 iteration 0360]loss 1.486 | overlap 0.187
[epoch 0 iteration 0361]loss 1.483 | overlap 0.175
[epoch 0 iteration 0362]loss 1.484 | overlap 0.163
